11067,2
10849,2
10785,2
10747,2
10685,2
10620,2
10561,2
14674,2
14633,2
SUX,2
10279,2
10208,2
14588,2
10141,2
CEC,2
14574,2
15356,2
14487,2
14457,2
14252,2
13795,2
13486,2
13290,2
13277,2
13256,2
GGG,2
13241,2
15041,2
13076,2
GST,2
15024,2
14986,2
15841,2
ILG,2
12519,2
12217,2
12003,2
11996,2
11973,2
11905,2
11778,2
11775,2
MQT,2
11612,2
14711,2
11537,2
11413,2
11337,2
11146,2
15389,1
15401,1
15497,1
15607,1
15295,1
AKN,1
15249,1
14905,1
BGM,1
14828,1
14794,1
14709,1
14520,1
14489,1
14256,1
14113,1
14098,1
DESTINATION_AIRPORT,1
DLG,1
10135,1
13873,1
13459,1
13377,1
13367,1
13230,1
13184,1
13127,1
13061,1
12915,1
HYA,1
12898,1
IAG,1
12891,1
12819,1
12389,1
12335,1
12280,1
12255,1
12206,1
12094,1
12007,1
11865,1
11695,1
11648,1
11641,1
11603,1
11587,1
11577,1
11525,1
OTH,1
11471,1
11308,1
11274,1
11252,1
PPG,1
11122,1
11076,1
10728,1
10631,1
10551,1
STC,1
10434,1
10185,1
10170,1
10157,1
10146,1
UST,1
VEL,1
WYS,1
10136,1
12884,1
